iter	Passed	Remaining
399	43451	65176
400	43555	65061
401	43747	65077
402	43825	64922
403	43892	64752
404	43963	64588
405	44071	64478
406	44162	64344
407	44256	64215
408	44373	64118
409	44475	64002
410	44600	63915
411	44727	63834
412	44825	63711
413	44937	63607
414	45040	63490
415	45106	63322
416	45171	63153
417	45236	62985
418	45358	62895
419	45455	62772
420	45549	62643
421	45664	62545
422	45766	62428
423	45863	62305
424	45977	62205
425	46072	62079
426	46169	61956
427	46234	61790
428	46296	61621
429	46391	61495
430	46504	61395
431	46633	61314
432	46736	61200
433	46822	61063
434	46905	60923
435	46988	60782
436	47119	60704
437	47187	60546
438	47261	60395
439	47362	60280
440	47467	60167
441	47611	60106
442	47699	59974
443	47783	59836
444	47883	59719
445	48012	59638
446	48113	59522
447	48222	59417
448	48397	59391
449	48483	59257
450	48544	59093
451	48598	58919
452	48708	58815
453	48789	58676
454	48898	58570
455	49026	58487
456	49136	58382
457	49198	58221
458	49258	58058
459	49338	57919
460	49429	57792
461	49552	57704
462	49646	57581
463	49746	57465
464	49870	57378
465	49987	57282
466	50055	57129
467	50129	56984
468	50217	56856
469	50317	56740
470	50424	56634
471	50532	56527
472	50601	56378
473	50667	56225
474	50771	56115
475	50870	56000
476	50979	55896
477	51043	55741
478	51130	55614
479	51219	55488
480	51324	55378
481	51421	55261
482	51627	55261
483	51709	55128
484	51778	54981
485	51851	54838
486	51920	54692
487	52011	54569
488	52126	54471
489	52230	54362
490	52326	54244
491	52449	54154
492	52508	53999
493	52567	53844
494	52628	53691
495	52701	53551
496	52776	53413
497	52884	53309
498	52983	53196
499	53089	53089
500	53176	52963
501	53279	52854
502	53366	52730
503	53469	52620
504	53587	52526
505	53692	52419
506	53789	52304
507	53888	52190
508	53993	52084
509	54084	51963
510	54151	51819
511	54209	51668
512	54262	51512
513	54324	51365
514	54387	51219
515	54526	51144
516	54659	51064
517	54766	50959
518	54884	50866
519	54979	50750
520	55035	50598
521	55101	50457
522	55217	50361
523	55319	50252
524	55462	50180
525	55554	50062
526	55650	49948
527	55726	49816
528	55785	49668
529	55886	49560
530	55975	49439
531	56074	49329
532	56170	49214
533	56260	49095
534	56348	48975
535	56437	48856
536	56537	48746
537	56619	48621
538	56774	48558
539	56916	48484
540	57011	48370
541	57151	48294
542	57240	48175
543	57321	48049
544	57416	47934
545	57527	47834
546	57593	47696
547	57647	47548
548	57744	47437
549	57842	47326
550	57927	47203
551	58045	47109
552	58163	47014
553	58252	46896
554	58350	46785
555	58442	46669
556	58550	46566
557	58640	46449
558	58750	46349
559	58873	46257
560	58930	46114
561	58985	45970
562	59048	45833
563	59152	45727
564	59238	45608
565	59332	45495
566	59429	45384
567	59591	45322
568	59814	45307
569	59910	45195
570	59976	45061
571	60037	44922
572	60098	44785
573	60172	44657
574	60256	44537
575	60359	44430
576	60449	44315
577	60531	44194
578	60627	44082
579	60722	43971
580	60817	43859
581	60922	43755
582	61010	43638
583	61096	43520
584	61195	43412
585	61282	43295
586	61377	43184
587	61489	43084
588	61574	42966
589	61669	42854
590	61815	42779
591	61949	42694
592	62062	42596
593	62165	42490
594	62293	42401
595	62380	42285
596	62440	42149
597	62497	42013
598	62560	41881
599	62624	41749
600	62679	41612
601	62731	41473
602	62782	41334
603	62836	41197
604	62918	41079
605	63011	40967
606	63109	40860
607	63186	40738
608	63268	40620
609	63350	40502
610	63429	40382
611	63507	40263
612	63595	40149
613	63672	40028
614	63757	39913
615	63853	39804
616	63957	39701
617	64042	39586
618	64150	39485
619	64278	39396
620	64388	39296
621	64472	39181
622	64563	39069
623	64653	38957
624	64735	38841
625	64821	38727
626	64908	38614
627	64990	38497
628	65074	38382
629	65167	38272
630	65263	38165
631	65386	38073
632	65469	37957
633	65548	37840
634	65640	37730
635	65787	37651
636	65898	37552
637	65988	37441
638	66071	37326
639	66158	37214
640	66249	37103
641	66336	36991
642	66420	36877
643	66508	36765
644	66591	36651
645	66674	36536
646	66836	36465
647	66925	36354
648	67080	36279
649	67209	36189
650	67312	36086
651	67495	36025
652	67594	35919
653	67700	35817
654	67796	35709
655	67882	35596
656	67960	35480
657	68041	35365
658	68124	35251
659	68207	35137
660	68287	35021
661	68367	34906
662	68448	34791
663	68529	34677
664	68640	34578
665	68722	34464
666	68802	34349
667	68905	34246
668	68984	34131
669	69074	34021
670	69161	33910
671	69256	33803
672	69340	33691
673	69421	33577
674	69540	33482
675	69631	33373
676	69717	33262
677	69795	33147
678	69880	33036
679	69963	32923
680	70041	32809
681	70121	32695
682	70203	32583
683	70289	32472
684	70379	32364
685	70461	32252
686	70537	32137
687	70616	32023
688	70704	31914
689	70785	31802
690	70866	31690
691	70947	31577
692	71026	31464
693	71114	31356
694	71203	31247
695	71286	31136
696	71372	31026
697	71453	30915
698	71533	30803
699	71611	30690
700	71703	30583
701	71831	30492
702	71929	30388
703	72014	30278
704	72105	30171
705	72186	30060
706	72290	29959
707	72378	29851
708	72461	29740
709	72544	29630
710	72640	29526
711	72738	29422
712	72819	29311
713	72904	29202
714	72985	29091
715	73064	28980
716	73164	28877
717	73246	28767
718	73324	28656
719	73405	28546
720	73488	28437
721	73567	28326
722	73646	28215
723	73729	28106
724	73813	27998
725	73893	27888
726	73973	27778
727	74053	27668
728	74140	27561
729	74239	27458
730	74325	27351
731	74418	27245
732	74507	27140
733	74601	27035
734	74704	26934
735	74822	26838
736	74943	26743
737	75037	26639
738	75139	26537
739	75233	26433
740	75331	26330
741	75460	26238
742	75593	26147
743	75690	26044
744	75784	25939
745	75874	25834
746	75965	25728
747	76052	25622
748	76152	25519
749	76251	25417
750	76342	25312
751	76433	25206
752	76625	25134
753	76761	25044
754	76917	24960
755	77042	24865
756	77182	24776
757	77295	24677
758	77401	24576
759	77501	24474
760	77606	24373
761	77732	24278
762	77839	24178
763	77934	24073
764	77993	23958
765	78065	23847
766	78123	23732
767	78187	23619
768	78261	23509
769	78319	23394
770	78379	23280
771	78430	23163
772	78496	23051
773	78566	22940
774	78660	22836
775	78741	22729
776	78810	22618
777	78872	22506
778	78963	22401
779	79050	22296
780	79131	22189
781	79222	22084
782	79340	21988
783	79441	21886
784	79534	21783
785	79628	21680
786	79723	21577
787	79806	21470
788	79891	21365
789	79978	21260
790	80076	21157
791	80167	21054
792	80282	20956
793	80362	20849
794	80440	20742
795	80523	20636
796	80609	20531
797	80692	20425
798	80772	20319
799	80893	20223
800	80974	20117
801	81060	20012
802	81143	19907
803	81234	19803
804	81314	19697
805	81406	19594
806	81488	19488
807	81570	19383
808	81656	19278
809	81800	19187
810	81888	19083
811	81973	18978
812	82059	18874
813	82150	18771
814	82238	18667
815	82331	18564
816	82426	18462
817	82506	18357
818	82594	18253
819	82676	18148
820	82756	18043
821	82835	17937
822	82918	17833
823	83001	17728
824	83086	17624
825	83170	17520
826	83248	17414
827	83342	17312
828	83438	17211
829	83519	17106
830	83612	17004
831	83693	16899
832	83774	16795
833	83854	16690
834	83937	16586
835	84028	16484
836	84111	16380
837	84208	16278
838	84294	16175
839	84377	16071
840	84457	15967
841	84535	15862
842	84618	15759
843	84702	15655
844	84782	15551
845	84862	15447
846	84945	15344
847	85024	15240
848	85109	15137
849	85208	15036
850	85296	14934
851	85379	14831
852	85472	14729
853	85552	14626
854	85633	14522
855	85713	14419
856	85793	14315
857	85874	14212
858	85956	14109
859	86037	14006
860	86121	13903
861	86207	13801
862	86288	13698
863	86369	13595
864	86449	13492
865	86541	13390
866	86621	13287
867	86777	13196
868	86862	13094
869	86961	12994
870	87043	12891
871	87154	12793
872	87235	12690
873	87323	12589
874	87423	12489
875	87526	12389
876	87629	12290
877	87732	12190
878	87834	12091
879	87913	11988
880	88000	11886
881	88081	11784
882	88161	11681
883	88239	11578
884	88320	11476
885	88399	11374
886	88480	11271
887	88570	11171
888	88654	11069
889	88734	10967
890	88818	10865
891	88922	10766
892	89013	10665
893	89096	10564
894	89177	10462
895	89260	10360
896	89346	10259
897	89423	10157
898	89503	10055
899	89585	9953
900	89663	9852
901	89748	9750
902	89830	9649
903	89909	9547
904	89989	9446
905	90073	9345
906	90151	9243
907	90232	9142
908	90330	9042
909	90410	8941
910	90493	8840
911	90599	8742
912	90679	8640
913	90761	8539
914	90841	8438
915	90921	8337
916	90999	8236
917	91088	8136
918	91171	8035
919	91260	7935
920	91351	7835
921	91430	7734
922	91509	7634
923	91598	7534
924	91716	7436
925	91803	7336
926	91887	7236
927	91973	7135
928	92059	7035
929	92145	6935
930	92228	6835
931	92326	6736
932	92410	6636
933	92491	6535
934	92578	6435
935	92668	6336
936	92756	6236
937	92839	6136
938	92923	6036
939	93003	5936
940	93169	5841
941	93276	5743
942	93357	5643
943	93440	5543
944	93534	5443
945	93617	5343
946	93697	5243
947	93786	5144
948	93871	5044
949	93959	4945
950	94041	4845
951	94120	4745
952	94205	4646
953	94295	4546
954	94374	4446
955	94451	4347
956	94533	4247
957	94613	4147
958	94694	4048
959	94774	3948
960	94853	3849
961	94943	3750
962	95024	3651
963	95102	3551
964	95185	3452
965	95267	3353
966	95350	3253
967	95428	3154
968	95513	3055
969	95595	2956
970	95673	2857
971	95774	2758
972	95872	2660
973	95965	2561
974	96047	2462
975	96139	2364
976	96222	2265
977	96302	2166
978	96380	2067
979	96460	1968
980	96540	1869
981	96645	1771
982	96758	1673
983	96839	1574
984	96957	1476
985	97038	1377
986	97145	1279
987	97235	1180
988	97319	1082
989	97397	983
990	97480	885
991	97578	786
992	97657	688
993	97751	590
994	97833	491
995	97914	393
996	98006	294
997	98089	196
998	98168	98
999	98248	0
