iter	Logloss
0	0.5486464583
1	0.4532443309
2	0.3746579595
3	0.3198252135
4	0.2473509067
5	0.1930244775
6	0.1612571921
7	0.1384783452
8	0.122675733
9	0.09307904806
10	0.07238926365
11	0.0595115482
12	0.05118412924
13	0.04558739649
14	0.04187638188
15	0.03928523533
16	0.03561306728
17	0.03351828698
18	0.03144179189
19	0.02982190135
20	0.02876792219
21	0.02791386866
22	0.02719325407
23	0.02621589883
24	0.0253157616
25	0.02487193096
26	0.02419688844
27	0.0237952553
28	0.02306554746
29	0.02274075605
30	0.02249808919
31	0.02217678776
32	0.02195551523
33	0.0218459657
34	0.02143051299
35	0.02117895039
36	0.02102968042
37	0.0208682338
38	0.02068436985
39	0.02052688502
40	0.02035589444
41	0.0202097406
42	0.02012435156
43	0.01986167481
44	0.01973491236
45	0.01967178178
46	0.01955864317
47	0.01945394837
48	0.01936380072
49	0.01920099902
50	0.01912418061
51	0.01900699114
52	0.01836680437
53	0.01831601886
54	0.01826685317
55	0.01783251264
56	0.01773687803
57	0.01741349214
58	0.01736691898
59	0.01732778309
60	0.01724509253
61	0.01718078975
62	0.01707485002
63	0.01702385853
64	0.01693034237
65	0.01685310187
66	0.01677180307
67	0.01674375918
68	0.016700424
69	0.0166045888
70	0.01655708381
71	0.01651031778
72	0.016510081
73	0.016425409
74	0.01641889773
75	0.01640219612
76	0.01636117324
77	0.01614303634
78	0.01611989469
79	0.01605561788
80	0.01602797521
81	0.01598756905
82	0.01594376675
83	0.01588110224
84	0.01585023299
85	0.01567046503
86	0.01561043168
87	0.01558295894
88	0.01554548193
89	0.01552410113
90	0.01548876295
91	0.01546917754
92	0.01542894528
93	0.01536671174
94	0.01524559312
95	0.01521187407
96	0.01519307097
97	0.01514352581
98	0.01508624824
99	0.01505361451
100	0.01500836615
101	0.01493838783
102	0.01486304401
103	0.01483769807
104	0.01481570743
105	0.01474387404
106	0.01473524161
107	0.01473275569
108	0.01472517535
109	0.01470042435
110	0.01467397952
111	0.01465341072
112	0.01460237524
113	0.01459040381
114	0.01458971575
115	0.01457543363
116	0.014560084
117	0.01452015062
118	0.0144829179
119	0.0144728747
120	0.01446254519
121	0.01443933134
122	0.01443933134
123	0.01440442071
124	0.01439308761
125	0.0143664441
126	0.01434310271
127	0.0143082563
128	0.01428247224
129	0.01423526763
130	0.01420600593
131	0.01419569082
132	0.01415865092
133	0.0141315449
134	0.0141122135
135	0.01408818047
136	0.01406485769
137	0.01405236862
138	0.01403498062
139	0.01399392655
140	0.01396728693
141	0.01394389083
142	0.01391412063
143	0.01389454518
144	0.01389452465
145	0.01388503073
146	0.01385165912
147	0.01383266655
148	0.01380503814
149	0.01379156969
150	0.01376590148
151	0.01376580928
152	0.0137382688
153	0.01371064863
154	0.01369657689
155	0.01365956911
156	0.01363798605
157	0.0136021724
158	0.01358454649
159	0.01356826709
160	0.01356823805
161	0.01353466441
162	0.01349348073
